gene,c,coeff,pval,importance,group,scaled
ABL1,CISH,0.284713619634323,4.79755317281935e-13,0.026067458633524,ec,0.06037646005495237
ABL1,MAPK14,0.020222150242557,0.614985700971255,0.017468638640784,ec,0.04044801166547815
ACD,APRT,-0.149705571929728,1.80935045932e-4,0.011761666046013,ec,0.027221649337733057
ACD,ARSE,0.19170431704307,1.49184187797124e-6,0.015660840332951,ec,0.03625829548271748
ACD,BAX,0.244885111554345,6.22521839578114e-10,0.02428879517041,ec,0.056254266189184984
ACD,BCO1,0.114839956289947,0.004163291797315,0.011713020789694,ec,0.02710891009202674
ACD,C11orf80,-0.195197495828533,9.49993695355075e-7,0.011836971401249,ec,0.027396175480452492
ACD,CDKN1A,0.188195896803618,2.32813036744568e-6,0.014995633554559,ec,0.034716625932394773
ACD,CNBD2,-0.173397161718622,1.3909384695761e-5,0.011422467490628,ec,0.026435529741034747
ACD,CNTRL,-0.098093245634746,0.014467304213475,0.015326774434675,ec,0.03548407122658728
ACD,DUSP3,0.151758047791069,1.46942640831e-4,0.011009398096488,ec,0.025478208607514038
ACD,EDA2R,0.224885187177157,1.46556659266255e-8,0.024939912153361,ec,0.05776328151933547
ACD,EHD3,-0.040615282215563,0.312253202343903,0.012929298449823,ec,0.029927730185669344
ACD,EPPK1,-0.173398941920837,1.39065144392082e-5,0.011494203244205,ec,0.026601783048354387
ACD,GOLGA8N,0.091862826579982,0.022053784468812,0.013777406252603,ec,0.03189328738894625
ACD,IL4I1,0.18975880430417,1.9113722325407e-6,0.013657219856629,ec,0.03161474586914389
ACD,LARGE2,-0.169756448980594,2.11218513086236e-5,0.016531685893518,ec,0.03827654924586344
ACD,LRMDA,0.177992171900259,8.10901785074825e-6,0.012733659197563,ec,0.029474320677747266
ACD,LYST,0.163255760584216,4.35914439414652e-5,0.013600410891342,ec,0.03148308657941143
ACD,MAP3K21,0.021268367924448,0.596807525161414,0.011498049073478,ec,0.026610696063192052
ACD,MDM2,0.185561587022156,3.23439638722418e-6,0.011502840404725,ec,0.026621800353961406
ACD,NDUFB10,-0.125583516870793,0.00171478297144,0.011982195184648,ec,0.027732743134483467
ACD,PAIP2B,-0.186541389637608,2.86364806666786e-6,0.013691039429375,ec,0.03169312541547603
ACD,PIAS3,-0.128200536497996,0.00136702558965,0.016467207276127,ec,0.03812711492813309
ACD,PTPRJ,0.144113980703837,0.00031469822522099997,0.011193231581532,ec,0.02590425731210951
ACD,RPS27L,0.24747440339947,4.04938181668486e-10,0.017427305671877,ec,0.04035221922670837
ACD,SLAMF8,0.166250158571105,3.13276315614156e-5,0.011844048769884,ec,0.027412577844462317
ACD,SLC16A4,0.171972832976284,1.63957394179251e-5,0.01351930953943,ec,0.031295127753984284
ACD,SLC50A1,-0.148854764187515,1.97082198145e-4,0.014624618457081,ec,0.033856768972015484
ACD,SPART,0.144277389384581,3.09735072521e-4,0.021443335053518,ec,0.0496596863361742
ACD,SRD5A1,-0.167907704726342,2.60272291320588e-5,0.012728381338293999,ec,0.029462088819639062
ACD,SREBF1,-0.163610430958358,4.19313084193369e-5,0.016158508365935,ec,0.0374116806819409
ACD,STARD10,-0.138045369010283,5.61269744294e-4,0.011450029956901,ec,0.026499407946075883
ACD,SYT7,-0.172833302152675,1.4847431860679e-5,0.030081682209746,ec,0.06967974206691362
ACD,TCTE3,-0.148348945157515,2.07312195028e-4,0.016462035887796,ec,0.03811512982488133
ACD,TINCR,-0.170827631823583,1.86956836628044e-5,0.019137143973489,ec,0.04431490531349588
ACD,TKFC,-0.194916865207477,9.8536799394337e-7,0.011621248895328,ec,0.026896221436836697
ACD,XCL1,-0.150970778254093,1.59202353883e-4,0.011551111381645,ec,0.026733672177429266
ACTL6A,ATP1A3,-0.215729831924565,5.6612202216927e-8,0.001678391441603,ec,0.0038528594665021
ACTL6A,BCDIN3D,-0.151434636542696,1.51867545027e-4,0.00128993718435,ec,0.0029525858680462726
ACTL6A,C14orf132,-0.172687096037795,1.51003135354318e-5,0.001540218228559,ec,0.0035326320693382994
ACTL6A,CHRNB2,-0.395264054160441,1.17788079780896e-24,0.001311837420956,ec,0.003003341406048979
ACTL6A,E2F6,-0.144067473217024,3.1612429898e-4,0.002588398932255,ec,0.005961874113489102
ACTL6A,EGR1,-0.056835384318633,0.157179777716206,0.001300799342708,ec,0.0029777597828878977
ACTL6A,GAREM2,-0.169829357515046,2.09476595322792e-5,0.001333516479723,ec,0.003053584346840308
ACTL6A,GNG3,-0.472778111857454,6.67319183492213e-36,0.001413223637477,ec,0.0032383120165570124
ACTL6A,PNMA8B,-0.298917125534986,2.77066657324086e-14,0.001781680469919,ec,0.004092239994496901
ACTL6A,RAP2B,0.164689356694805,3.72412941397653e-5,0.001368776685291,ec,0.003135302674175619
ACTL6A,RET,-0.212321627059137,9.2239100403156e-8,0.001338385819455,ec,0.0030648694284703356
ACTL6A,SLC18A1,-0.363432267773684,7.94355674194615e-21,0.001291022588986,ec,0.00295510137951046
ACTL6A,SMC6,-0.118682904915957,0.003055690916584,0.001634405233469,ec,0.003750917935060904
ACTL6A,SPTBN4,-0.259340856505497,5.29759133092487e-11,0.001474504706848,ec,0.003380335762750427
ACTL6A,SST,-0.398305072890939,4.81780325047679e-25,0.00141085340237,ec,0.0032328188084144245
ACTL6A,ST8SIA3,-0.464153279445196,1.67433143914277e-34,0.001348091921248,ec,0.003087364090390005
ACTL6A,TCEAL5,-0.447286626317826,7.04620458003439e-32,0.002299650279918,ec,0.005292676174645573
ACTL6A,TCEANC2,-0.150230856080948,1.71594442732e-4,0.001349443173595,ec,0.0030904957250423274
